f,Customer Rating,room name,room categories,locations,net_cp,net_map,net_ap,net_cp_kid,net_map_kid,hotel_email
Shompen,1,Sea View Room,Budget,Port Blair,4300,5400,6500,1344,1344,
TSG Emerald View,1,Standard,,Port Blair,4700,,,1500,1500,
TSG Grand,1,Cozy,,Port Blair,4700,,,1500,1500,
Peerless Resort,1,Single Deluxe Room,Budget,Port Blair,4000,4500,5000,1700 on CP,1700 on CP,
Peerless Resort,1,Double Deluxe Room,Budget,Port Blair,4000,5000,6000,,,
TSG Emerald View,1,Cozy,,Port Blair,4500,,,1500,1500,
Sand Heaven Boutique Hotel,1,Super Deluxe Room,,Port Blair,4000,5400,6800,,,
Sand Heaven,1,Deluxe,,Port Blair,4000,5400,6800,1800,1800,
Shompen,1,Executive,Budget,Port Blair,3300,4400,5500,1344,1344,
Amigrace,1,Premium Room Without Balcony,Budget,Port Blair,3100,4400,5700,1200,1200,
J Hotel,1,Premiere Room,Budget,Port Blair,3799,4997,6195,1200,1200,
Amigrace,1,Premium Room With Balcony,Budget,Port Blair,3350,4650,5950,1200,1200,
Hotel Haywizz,1,Premium,Budget,Port Blair,2015,3015,4015,,,
J Hotel,1,Deluxe Room,Budget,Port Blair,3299,4497,5695,1200,1200,
Shompen,1,Deluxe,Budget,Port Blair,2300,3400,4500,1344,1344,
Hotel Haywizz,1,Deluxe,Budget,Port Blair,3023,4023,5023,900,900,
Taj Exotica resorts & Spa,1,Deluxe Villa-Garden facing,Luxury,Havelock Island,42480,,,5310,5310,
Taj Exotica resorts & Spa,1,Deluxe villa-Mangrove facing,Luxury,Havelock Island,46020,,,5310,5310,
Taj Exotica resorts & Spa,1,Luxuary villa-Organic farm Facing,Luxury,Havelock Island,48380,,,5310,5310,
Taj Exotica resorts & Spa,1,Grand Luxuary Two Bedroom Pool Villa,Ultra Luxury,Havelock Island,117410,,,5310,5310,
Taj Exotica resorts & Spa,1,Tata Suite,Ultra Luxury,Havelock Island,299720,,,5310,5310,
Munjoh Island House,1,Emerald Suite,Deluxe,Port Blair,4999,7123,9247,1680,1680,
Munjoh Island House,1,Jade Suite,Deluxe,Port Blair,6499,8623,10747,1680,1680,
Munjoh Island House,1,Honeymoon Suite,Deluxe,Port Blair,8399,10523,12647,1680,1680,
Munjoh Island House,1,Kohinoor Residence,Luxury,Port Blair,35400,37524,39648,1680,1680,
Hotel NK International,1,Premium,,Port Blair,2500,,,1000,1000,
Hotel NK International,1,Deluxe,,Port Blair,3000,,,1000,1000,
Hotel NK International,1,Royal Deluxe,,Port Blair,3500,,,1000,1000,
Hotel NK International,1,Imperial Suite,,Port Blair,4000,,,1000,1000,
NK Grand Days,1,Royal Executive,,Port Blair,3500,,,1000,1000,
NK Grand Days,1,Royal Family,,Port Blair,4500,,,1000,1000,
Heritage MNR,1,Heritage Club,,Port Blair,6000,,,2300,2300,
Heritage MNR,1,Hertage Family Suite,,Port Blair,7500,,,2300,2300,
EDHA Homestay,1,Executive Room (preffered for solo pax),Budget,Port Blair,1800,3300,4800,750,750,
EDHA Homestay,1,Luxury Room,Budget,Port Blair,2000,3500,5000,750,750,
EDHA Homestay,1,Premium Room,Budget,Port Blair,2300,3800,5300,750,750,
EDHA Homestay,1,Family Room,Budget,Port Blair,3500,5000,6500,750,750,
Adhavasaha Beach Spa Resort,1,Standard Cottage,Premium,Port Blair,4256,5600,6944,1120,1120,
Adhavasaha Beach Spa Resort,1,Premium Luxury Cottage,Premium,Port Blair,5152,6496,7840,1120,1120,
Adhavasaha Beach Spa Resort,1,Suites Luxury Cottage,Premium,Port Blair,9204,10266,11800,1120,1120,
Munjoh Ocean Resort,1,Luxury Villa,Premium,Havelock Island,8399,11231,14063,2360,2360,
Munjoh Ocean Resort,1,Ocean Suite,Premium,Havelock Island,11940,14772,17604,2360,2360,
Munjoh Ocean Resort,1,Pool Suite,Premium,Havelock Island,14772,17604,20432,2360,2360,
Munjoh Ocean Resort,1,Garden Cottage,Premium,Havelock Island,21240,24072,26904,2360,2360,
Munjoh Ocean Resort,1,Royal Chalet,Premium,Havelock Island,28320,31152,33984,2360,2360,
Havelock Holiday Beach Resort,1,Studio Room,Premium,Havelock Island,5076,6336,7596,1680,1680,
Havelock Holiday Beach Resort,1,Modern Margin Room,Premium,Havelock Island,6160,7420,8680,1680,1680,
Havelock Holiday Beach Resort,1,Royal Rein Room,Premium,Havelock Island,7280,8540,9800,1680,1680,
Havelock Holiday Beach Resort,1,Family Room,Premium,Havelock Island,8400,9660,10920,1680,1680,
Ocean Tree Beach Resort & Spa,1,Deluxe,Premium,Havelock Island,5040,7280,9520,2240,2240,
Ocean Tree Beach Resort & Spa,1,Villa,Premium,Havelock Island,7200,9440,11680,2240,2240,
Ocean Tree Beach Resort & Spa,1,Villa Plus,Premium,Havelock Island,8400,10640,12880,2240,2240,
Ocean Tree Beach Resort & Spa,1,Honeymoon Villa,Premium,Havelock Island,11210,13450,15690,2240,2240,
Aparupa Ambience,1,Suite Room,Budget,Port Blair,3500,4500,5500,800,800,
Aparupa Ambience,1,Deluxe Room,Budget,Port Blair,3000,4000,5000,800,800,
Aparupa Ambience,1,Executive Room,Budget,Port Blair,2500,3500,4500,800,800,
